Code,TOTAL_SHARES,Industry
sz002363,385873624.0,汽车
sz002364,563564960.0,电气设备
sz002365,196455000.0,医药生物
sz002366,867057350.0,机械设备
sz002367,797652687.0,机械设备
sz002368,415597227.0,计算机
sz002369,576769204.0,电子
sz002370,536494456.0,医药生物
sz002371,458004372.0,电子
sz002372,1008405762.0,建筑材料
sz002373,1104376432.0,计算机
sz002374,877427468.0,建筑装饰
sz002375,1339996498.0,建筑装饰
sz002376,631490090.0,计算机
sz002377,432056000.0,化工
sz002378,924167436.0,有色金属
sz002379,926400000.0,有色金属
sz002380,239991649.0,计算机
sz002381,428500000.0,化工
sz002382,494355000.0,化工
sz002383,733148100.0,计算机
sz002384,1071048318.0,电子
sz002385,4100669122.0,农林牧渔
sz002386,671679806.0,化工
sz002387,469459458.0,食品饮料
sz002388,503766600.0,电子
sz002389,708846900.0,电子
sz002390,1704895788.0,医药生物
sz002391,359486180.0,化工
sz002392,1190490839.0,建筑材料
sz002393,182454992.0,医药生物
sz002394,323700000.0,纺织服装
sz002395,178806000.0,化工
sz002396,583280278.0,通信
sz002397,685990272.0,纺织服装
sz002398,346119096.0,建筑材料
sz002399,1247201704.0,医药生物
sz002400,1743337128.0,传媒
sz002401,303240000.0,计算机
